Opportunity_ID,Target
10689,0.83400655
10690,0.7592932
10691,0.81698996
10692,0.44901416
10693,0.9701018
10694,0.9701018
10695,0.68512595
10696,0.6599164
10697,0.59478945
10698,0.6747809
10699,0.60078377
10700,0.5736757
10701,0.5736757
10702,0.7669075
10703,0.77895474
10704,0.96949065
10705,0.84451073
10706,0.30129448
10707,0.047421716
10708,0.3342651
10709,0.98049474
10710,0.85333353
10711,0.9055142
10712,0.9747226
10713,0.8985959
10714,0.37111422
10715,0.7198753
10716,0.85162014
10717,0.57800156
10718,0.84267074
10719,0.69182193
10720,0.5093661
10721,0.42565984
10722,0.89821804
10723,0.9356031
10724,0.8846214
10725,0.9417075
10726,0.61776686
10727,0.45797434
10728,0.97768116
10729,0.7383315
10730,0.98177
10731,0.00636143
10732,0.7374457
10733,0.7374457
10734,0.61014134
10735,0.77039695
10736,0.9141071
10737,0.8234074
10738,0.68130684
10739,0.74413335
10740,0.4268235
10741,0.9211785
10742,0.75784886
10743,0.36057138
10744,0.16813289
10745,0.16813289
10746,0.16813289
10747,0.16813289
10748,0.8429005
10749,0.87794995
10750,0.65206444
10751,0.7385168
10752,0.7385168
10753,0.7348819
10754,0.70609546
10755,0.8236501
10756,0.9174072
10757,0.004480678
10758,0.0044039204
10759,0.0022795007
10760,0.004848848
10761,0.96999323
10762,0.976354
10763,0.87104005
10764,0.81887054
10765,0.39355612
10766,0.9112694
10767,0.85232985
10768,0.34102756
10769,0.5087793
10770,0.06590168
10771,0.0062742447
10772,0.9496846
10773,0.61789453
10774,0.05120874
10775,0.024642011
10776,0.086710334
10777,0.7849297
10778,0.8907393
10779,0.91491675
10780,0.7661003
10781,0.41641092
10782,0.31495282
10783,0.11982983
10784,0.86244524
10785,0.7515154
10786,0.0024921042
10787,0.9545401
10788,0.7272991
10789,0.0020130342
10790,0.5028423
10791,0.9768076
10792,0.73650724
10793,0.7940864
10794,0.7940864
10795,0.81887054
10796,0.5796439
10797,0.6881267
10798,0.6429852
10799,0.696076
10800,0.6881267
10801,0.16829944
10802,0.6326404
10803,0.004352376
10804,0.9225689
10805,0.00034854858
10806,0.9746498
10807,0.3231782
10808,0.8790759
10809,0.91896445
10810,0.0010151104
10811,0.0037792248
10812,0.88258904
10813,0.0031312064
10814,0.0011441398
10815,0.82577777
10816,0.008166331
10817,0.11592147
10818,0.8269787
10819,0.0031550603
10820,0.6829182
10821,0.0036226253
10822,0.0010881573
10823,0.6834126
10824,0.0020893686
10825,0.33502945
10826,0.82051545
10827,0.9827671
10828,0.9560882
10829,0.8407428
10830,0.44368756
10831,0.7531585
10832,0.6796787
10833,0.4289835
10834,0.0042396323
10835,0.5969847
10836,0.8717732
10837,0.61931354
10838,0.62951666
10839,0.0038947652
10840,0.40928912
10841,0.0032793975
10842,0.70945776
10843,0.7019066
10844,0.5892085
10845,0.9378023
10846,0.4556319
10847,0.7129561
10848,0.0027019083
10849,0.6512615
10850,0.79868853
10851,0.4171838
10852,0.7178427
10853,0.6844379
10854,0.74324036
10855,0.7928908
10856,0.580346
10857,0.84498566
10858,0.75849307
10859,0.0021282912
10860,0.13883166
10861,0.0013108648
10862,0.41487306
10863,0.36853924
10864,0.97527
10865,0.91746485
10866,0.0006537128
10867,0.019836312
10868,0.7279366
10869,0.046833523
10870,0.397406
10871,0.98015594
10872,0.0006733737
10873,0.38210246
10874,0.85232985
10875,0.9375924
10876,0.9662435
10877,0.7802244
10878,0.41409308
10879,0.092403054
10880,0.017376317
10881,0.83238816
10882,0.36452895
10883,0.18702498
